date,anio,mes,dia,estacion,clase,CO,NO2,O3,PM10,PM2.5,temporada
2023-01-10 08:00:00,2023,1,10,NORESTE3,0,2.4,33.6,8.0,151.0,48.0,invierno
2023-01-10 08:00:00,2023,1,10,NOROESTE3,0,1.7166666666666668,28.73333333333333,3.5,90.33333333333333,39.815,invierno
2023-01-10 08:00:00,2023,1,10,NORTE2,1,2.015,28.75,,112.325,31.95,invierno
2023-01-10 08:00:00,2023,1,10,SUR,0,2.3675,42.7,3.6666666666666665,110.5,34.07333333333333,invierno
2023-01-10 08:00:00,2023,1,10,SUROESTE2,1,2.025,33.3,7.0,130.0,41.0,invierno
2023-01-11 07:00:00,2023,1,11,CENTRO,1,1.32,34.1,8.0,65.0,21.39,invierno
2023-01-11 07:00:00,2023,1,11,NORESTE3,0,1.855,38.75,9.0,131.5,46.0,invierno
2023-01-11 07:00:00,2023,1,11,NOROESTE3,0,1.7400000000000002,35.73333333333333,3.3333333333333335,95.66666666666667,23.235,invierno
2023-01-11 07:00:00,2023,1,11,NORTE2,1,1.985,38.85,,105.83500000000001,31.465,invierno
2023-01-11 07:00:00,2023,1,11,SUR,0,2.0825,46.75,4.75,103.0,19.333333333333332,invierno
2023-01-11 07:00:00,2023,1,11,SUROESTE2,1,1.3900000000000001,34.6,9.0,66.0,21.5,invierno
2023-01-11 08:00:00,2023,1,11,CENTRO,1,2.13,39.6,4.0,77.0,26.1,invierno
2023-01-11 08:00:00,2023,1,11,NORESTE3,0,2.5300000000000002,38.5,8.0,163.0,45.5,invierno
2023-01-11 08:00:00,2023,1,11,NOROESTE3,0,1.8299999999999998,35.13333333333333,3.5,94.0,19.575,invierno
2023-01-11 08:00:00,2023,1,11,NORTE2,1,2.705,38.15,,150.485,31.015,invierno
2023-01-11 08:00:00,2023,1,11,SUR,0,2.835,52.1,4.75,125.25,20.599999999999998,invierno
2023-01-11 08:00:00,2023,1,11,SUROESTE2,1,2.7699999999999996,39.3,7.0,99.5,31.5,invierno
2023-01-12 07:00:00,2023,1,12,CENTRO,1,1.49,35.2,7.0,100.0,28.44,invierno
2023-01-12 07:00:00,2023,1,12,NORESTE3,0,0.6523333333333334,9.433333333333334,25.833333333333332,365.3333333333333,42.0,invierno
2023-01-12 07:00:00,2023,1,12,NOROESTE3,0,1.3566666666666665,17.1,21.333333333333332,271.3333333333333,21.935000000000002,invierno
2023-01-12 07:00:00,2023,1,12,NORTE2,1,0.755,19.85,20.0,107.99000000000001,17.575,invierno
2023-01-12 07:00:00,2023,1,12,SUR,0,1.22,16.075,20.25,151.75,18.709999999999997,invierno
2023-01-12 07:00:00,2023,1,12,SUROESTE2,1,1.26,34.65,7.5,65.5,20.5,invierno
2023-01-12 08:00:00,2023,1,12,CENTRO,1,1.24,16.3,23.0,134.0,16.75,invierno
2023-01-12 08:00:00,2023,1,12,NORESTE3,0,0.664,11.333333333333334,27.666666666666668,432.3333333333333,22.0,invierno
2023-01-12 08:00:00,2023,1,12,NOROESTE3,0,1.28,17.966666666666665,21.666666666666668,281.0,18.54,invierno
2023-01-12 08:00:00,2023,1,12,NORTE2,1,0.675,14.9,27.0,253.05,29.825,invierno
2023-01-12 08:00:00,2023,1,12,SUR,0,1.2375,12.85,23.0,234.25,17.463333333333335,invierno
2023-01-12 08:00:00,2023,1,12,SUROESTE2,1,1.29,28.35,13.5,99.0,26.0,invierno
2023-01-13 07:00:00,2023,1,13,CENTRO,1,1.32,21.7,17.0,31.0,7.22,invierno
2023-01-13 07:00:00,2023,1,13,NORESTE3,0,0.839,31.400000000000002,9.5,47.333333333333336,10.0,invierno
2023-01-13 07:00:00,2023,1,13,NOROESTE3,0,1.4833333333333334,27.099999999999998,5.333333333333333,54.0,26.885,invierno
2023-01-13 07:00:00,2023,1,13,NORTE2,1,1.095,37.55,6.5,53.5,18.0,invierno
2023-01-13 07:00:00,2023,1,13,SUR,0,1.43,40.65,11.5,43.0,7.890000000000001,invierno
2023-01-13 07:00:00,2023,1,13,SUROESTE2,1,1.1,22.4,19.0,18.5,8.5,invierno
2023-01-13 08:00:00,2023,1,13,CENTRO,1,1.39,22.9,19.0,46.0,6.86,invierno
2023-01-13 08:00:00,2023,1,13,NORESTE3,0,0.8993333333333333,30.46666666666667,8.533333333333333,52.666666666666664,9.0,invierno
2023-01-13 08:00:00,2023,1,13,NOROESTE3,0,1.6833333333333333,28.3,5.0,72.0,25.165,invierno
2023-01-13 08:00:00,2023,1,13,NORTE2,1,1.5,38.9,9.0,66.5,17.0,invierno
2023-01-13 08:00:00,2023,1,13,SUR,0,1.62,37.95,10.25,57.25,11.290000000000001,invierno
2023-01-13 08:00:00,2023,1,13,SUROESTE2,1,1.25,25.0,17.0,46.0,8.5,invierno
2023-01-14 07:00:00,2023,1,14,CENTRO,0,1.6,36.2,,91.0,38.18,invierno
2023-01-14 07:00:00,2023,1,14,NORESTE3,0,1.085,33.03333333333333,6.5,60.333333333333336,17.0,invierno
2023-01-14 07:00:00,2023,1,14,NOROESTE3,0,1.6400000000000003,31.2,,124.33333333333333,35.07,invierno
2023-01-14 07:00:00,2023,1,14,NORTE2,0,1.145,41.55,7.0,77.565,22.384999999999998,invierno
2023-01-14 07:00:00,2023,1,14,SUR,0,1.7525,55.349999999999994,5.5,61.25,21.666666666666668,invierno
2023-01-14 07:00:00,2023,1,14,SUROESTE2,0,1.425,33.3,7.0,76.0,29.5,invierno
2023-01-14 08:00:00,2023,1,14,CENTRO,0,1.83,36.4,,91.0,45.16,invierno
2023-01-14 08:00:00,2023,1,14,NORESTE3,0,1.2356666666666667,35.43333333333333,6.0,80.66666666666667,18.0,invierno
2023-01-14 08:00:00,2023,1,14,NOROESTE3,0,1.7300000000000002,30.53333333333333,,108.33333333333333,29.155,invierno
2023-01-14 08:00:00,2023,1,14,NORTE2,0,1.27,41.25,6.5,85.385,20.285,invierno
2023-01-14 08:00:00,2023,1,14,SUR,0,2.0825,42.075,4.333333333333333,76.25,30.5,invierno
2023-01-14 08:00:00,2023,1,14,SUROESTE2,0,1.5899999999999999,34.05,5.0,110.0,33.5,invierno
2023-01-15 07:00:00,2023,1,15,CENTRO,0,1.67,30.5,4.0,70.0,33.47,invierno
2023-01-15 07:00:00,2023,1,15,NORESTE3,0,0.8623333333333333,27.0,7.5,48.333333333333336,15.0,invierno
2023-01-15 07:00:00,2023,1,15,NOROESTE3,0,1.7066666666666668,24.733333333333334,8.5,65.66666666666667,23.1,invierno
2023-01-15 07:00:00,2023,1,15,NORTE2,0,0.9750000000000001,30.1,6.0,45.760000000000005,14.615,invierno
2023-01-15 07:00:00,2023,1,15,SUR,0,1.5175,40.5,7.5,57.75,19.02,invierno
2023-01-15 07:00:00,2023,1,15,SUROESTE2,0,1.3199999999999998,27.799999999999997,9.5,77.0,25.5,invierno
2023-01-15 08:00:00,2023,1,15,CENTRO,0,1.81,31.1,4.0,82.0,39.75,invierno
2023-01-15 08:00:00,2023,1,15,NORESTE3,0,0.9223333333333333,28.233333333333334,6.5,50.0,16.0,invierno
2023-01-15 08:00:00,2023,1,15,NOROESTE3,0,1.88,26.933333333333334,6.0,59.0,26.380000000000003,invierno
2023-01-15 08:00:00,2023,1,15,NORTE2,0,1.1800000000000002,30.5,6.0,54.785,16.619999999999997,invierno
2023-01-15 08:00:00,2023,1,15,SUR,0,1.835,37.525,5.666666666666667,54.75,20.61,invierno
2023-01-15 08:00:00,2023,1,15,SUROESTE2,0,1.44,28.2,8.0,75.0,27.5,invierno
2023-01-16 07:00:00,2023,1,16,CENTRO,1,1.59,36.3,5.0,175.0,44.86,invierno
2023-01-16 07:00:00,2023,1,16,NORESTE3,0,1.6863333333333335,38.733333333333334,6.0,107.0,53.0,invierno
2023-01-16 07:00:00,2023,1,16,NOROESTE3,0,1.4666666666666668,16.7,16.666666666666668,119.05,11.28,invierno
2023-01-16 07:00:00,2023,1,16,NORTE2,1,0.855,33.65,7.5,99.105,15.92,invierno
2023-01-16 07:00:00,2023,1,16,SUR,0,2.0925000000000002,40.075,4.75,101.25,25.965,invierno
2023-01-16 07:00:00,2023,1,16,SUROESTE2,1,1.1199999999999999,20.75,16.5,162.5,18.5,invierno
2023-01-16 08:00:00,2023,1,16,CENTRO,1,1.64,33.2,7.0,160.0,17.41,invierno
2023-01-16 08:00:00,2023,1,16,NORESTE3,0,1.5919999999999999,36.166666666666664,6.366666666666667,155.0,45.5,invierno
2023-01-16 08:00:00,2023,1,16,NOROESTE3,0,1.5433333333333332,21.099999999999998,13.333333333333334,60.39666666666667,8.68,invierno
2023-01-16 08:00:00,2023,1,16,NORTE2,1,1.2999999999999998,37.25,6.5,96.72,13.235,invierno
2023-01-16 08:00:00,2023,1,16,SUR,0,2.3975,35.525,4.75,114.25,29.525,invierno
2023-01-16 08:00:00,2023,1,16,SUROESTE2,1,1.815,32.65,7.5,102.5,16.0,invierno
2023-01-17 07:00:00,2023,1,17,CENTRO,1,1.63,35.6,4.0,111.0,33.95,invierno
2023-01-17 07:00:00,2023,1,17,NORESTE3,0,1.4536666666666667,37.5,7.0,102.0,35.5,invierno
2023-01-17 07:00:00,2023,1,17,NOROESTE3,0,1.4400000000000002,32.86666666666667,2.5,134.33333333333334,25.44,invierno
2023-01-17 07:00:00,2023,1,17,NORTE2,1,1.455,39.75,,110.0,28.0,invierno
2023-01-17 07:00:00,2023,1,17,SUR,0,1.895,47.575,4.25,105.25,36.8225,invierno
2023-01-17 07:00:00,2023,1,17,SUROESTE2,1,1.5099999999999998,28.200000000000003,12.0,70.0,21.0,invierno
2023-01-17 08:00:00,2023,1,17,CENTRO,1,1.85,36.7,4.0,121.0,33.77,invierno
2023-01-17 08:00:00,2023,1,17,NORESTE3,0,2.159333333333333,40.13333333333333,9.0,140.66666666666666,47.0,invierno
2023-01-17 08:00:00,2023,1,17,NOROESTE3,0,1.7433333333333332,33.766666666666666,3.5,108.66666666666667,,invierno
2023-01-17 08:00:00,2023,1,17,NORTE2,1,1.75,39.25,,152.0,30.0,invierno
2023-01-17 08:00:00,2023,1,17,SUR,0,2.05,44.675,4.75,108.0,32.3225,invierno
2023-01-17 08:00:00,2023,1,17,SUROESTE2,1,2.415,33.45,10.0,104.5,30.0,invierno
2023-01-18 07:00:00,2023,1,18,CENTRO,1,1.71,35.1,5.0,260.0,47.57,invierno
2023-01-18 07:00:00,2023,1,18,NORESTE3,0,1.4086666666666667,31.833333333333332,8.0,141.0,41.5,invierno
2023-01-18 07:00:00,2023,1,18,NOROESTE3,0,1.3533333333333335,24.266666666666666,12.0,96.33333333333333,14.23,invierno
2023-01-18 07:00:00,2023,1,18,NORTE2,1,1.62,41.25,,195.0,51.0,invierno
2023-01-18 07:00:00,2023,1,18,SUR,0,2.225,48.35,4.5,130.5,42.0625,invierno
2023-01-18 07:00:00,2023,1,18,SUROESTE2,1,1.6,32.85,9.0,223.0,48.0,invierno
2023-01-18 08:00:00,2023,1,18,CENTRO,1,1.97,36.9,4.0,187.0,37.3,invierno
2023-01-18 08:00:00,2023,1,18,NORESTE3,0,1.721,30.833333333333332,8.0,129.33333333333334,37.5,invierno
2023-01-18 08:00:00,2023,1,18,NOROESTE3,0,1.4866666666666666,23.533333333333335,13.0,138.0,7.16,invierno
2023-01-18 08:00:00,2023,1,18,NORTE2,1,2.385,45.85,,224.0,52.0,invierno
2023-01-18 08:00:00,2023,1,18,SUR,0,2.795,40.0,4.75,150.25,48.34,invierno
2023-01-18 08:00:00,2023,1,18,SUROESTE2,1,2.415,38.05,4.0,126.0,41.0,invierno
2023-01-19 07:00:00,2023,1,19,CENTRO,1,1.32,16.4,24.0,37.0,6.26,invierno
2023-01-19 07:00:00,2023,1,19,NORESTE3,0,0.6803333333333333,12.133333333333333,25.53333333333333,42.666666666666664,4.0,invierno
2023-01-19 07:00:00,2023,1,19,NOROESTE3,0,1.0166666666666666,20.533333333333335,22.333333333333332,62.333333333333336,7.98,invierno
2023-01-19 07:00:00,2023,1,19,NORTE2,1,0.67,18.75,23.5,37.5,3.0,invierno
2023-01-19 07:00:00,2023,1,19,SUR,0,1.345,27.625,18.5,45.25,6.7524999999999995,invierno
2023-01-19 07:00:00,2023,1,19,SUROESTE2,1,1.0899999999999999,10.100000000000001,28.0,34.5,4.5,invierno
2023-01-19 08:00:00,2023,1,19,CENTRO,1,1.47,24.4,18.0,39.0,6.76,invierno
2023-01-19 08:00:00,2023,1,19,NORESTE3,0,0.7746666666666667,14.966666666666667,23.0,50.333333333333336,5.0,invierno
2023-01-19 08:00:00,2023,1,19,NOROESTE3,0,1.0866666666666667,23.433333333333334,20.333333333333332,34.666666666666664,8.56,invierno
2023-01-19 08:00:00,2023,1,19,NORTE2,1,0.69,20.15,23.5,34.0,4.0,invierno
2023-01-19 08:00:00,2023,1,19,SUR,0,1.45,31.35,15.5,48.75,7.1375,invierno
2023-01-19 08:00:00,2023,1,19,SUROESTE2,1,1.19,18.2,21.5,32.0,4.0,invierno
2023-01-20 07:00:00,2023,1,20,CENTRO,1,1.48,29.8,8.0,50.0,18.93,invierno
2023-01-20 07:00:00,2023,1,20,NORESTE3,0,0.855,23.03333333333333,16.0,55.666666666666664,11.0,invierno
2023-01-20 07:00:00,2023,1,20,NOROESTE3,0,1.4366666666666668,34.733333333333334,3.0,71.33333333333333,21.07,invierno
2023-01-20 07:00:00,2023,1,20,NORTE2,1,0.95,39.3,6.0,77.5,15.754999999999999,invierno
2023-01-20 07:00:00,2023,1,20,SUR,0,1.4875,49.5,6.75,47.0,9.7375,invierno
2023-01-20 07:00:00,2023,1,20,SUROESTE2,1,1.295,25.2,11.0,62.0,20.0,invierno
2023-01-20 08:00:00,2023,1,20,CENTRO,1,1.58,33.3,5.0,87.0,26.89,invierno
2023-01-20 08:00:00,2023,1,20,NORESTE3,0,1.063,30.2,9.0,69.33333333333333,12.0,invierno
2023-01-20 08:00:00,2023,1,20,NOROESTE3,0,1.8,35.86666666666667,3.0,78.33333333333333,23.485,invierno
2023-01-20 08:00:00,2023,1,20,NORTE2,1,1.2,38.55,6.5,88.0,19.595,invierno
2023-01-20 08:00:00,2023,1,20,SUR,0,1.7275,43.400000000000006,5.0,64.0,14.129999999999999,invierno
2023-01-20 08:00:00,2023,1,20,SUROESTE2,1,2.235,34.25,5.0,68.0,25.0,invierno
2023-01-21 07:00:00,2023,1,21,CENTRO,0,1.57,23.5,8.0,77.0,30.84,invierno
