date,estacion,franja_horaria,clase,CO,NO2,O3,PM10,PM2.5
2023-01-12,SUROESTE2,pico_7_9,1,1.275,31.5,10.5,82.25,23.25
2023-01-13,CENTRO,fuera_pico_10_12,1,1.335,15.4,27.0,44.0,8.135
2023-01-13,CENTRO,pico_7_9,1,1.355,22.299999999999997,18.0,38.5,7.04
2023-01-13,NORESTE3,fuera_pico_10_12,0,0.7291666666666667,12.55,28.066666666666663,53.83333333333333,13.0
2023-01-13,NORESTE3,pico_7_9,0,0.8691666666666666,30.933333333333334,9.016666666666666,50.0,9.5
2023-01-13,NOROESTE3,fuera_pico_10_12,0,1.335,14.033333333333331,26.5,70.16666666666666,10.51
2023-01-13,NOROESTE3,pico_7_9,0,1.5833333333333333,27.700000000000003,5.166666666666666,63.0,26.025
2023-01-13,NORTE2,fuera_pico_10_12,1,0.7375,21.475,24.25,49.75,6.75
2023-01-13,NORTE2,pico_7_9,1,1.2974999999999999,38.224999999999994,7.75,60.0,17.5
2023-01-13,SUR,fuera_pico_10_12,0,1.2737500000000002,18.625,28.375,56.625,9.80375
2023-01-13,SUR,pico_7_9,0,1.525,39.3,10.875,50.125,9.59
2023-01-13,SUROESTE2,fuera_pico_10_12,1,1.165,17.875,24.5,37.25,5.75
2023-01-13,SUROESTE2,pico_7_9,1,1.175,23.7,18.0,32.25,8.5
2023-01-14,CENTRO,fuera_pico_10_12,1,2.125,50.1,11.5,132.5,51.735
2023-01-14,CENTRO,pico_7_9,1,1.715,36.3,4.5,91.0,41.67
2023-01-14,NORESTE3,fuera_pico_10_12,0,0.9485000000000001,26.25,22.066666666666663,70.66666666666667,25.0
2023-01-14,NORESTE3,pico_7_9,0,1.1603333333333334,34.233333333333334,6.25,70.5,17.5
2023-01-14,NOROESTE3,fuera_pico_10_12,0,1.6533333333333333,27.049999999999997,18.166666666666668,128.16666666666669,29.53
2023-01-14,NOROESTE3,pico_7_9,0,1.6850000000000003,30.866666666666667,3.833333333333334,116.33333333333331,32.1125
2023-01-14,NORTE2,fuera_pico_10_12,1,1.1975,42.724999999999994,13.75,99.08500000000001,26.4675
2023-01-14,NORTE2,pico_7_9,1,1.2075,41.4,6.75,81.475,21.335
2023-01-14,SUR,fuera_pico_10_12,0,1.525,30.612499999999997,20.5,88.0,21.666666666666664
2023-01-14,SUR,pico_7_9,0,1.9175,48.712500000000006,4.916666666666666,68.75,26.083333333333336
2023-01-14,SUROESTE2,fuera_pico_10_12,1,1.3225,30.2,19.75,103.25,26.0
2023-01-14,SUROESTE2,pico_7_9,1,1.5075,33.675,6.0,93.0,31.5
2023-01-15,CENTRO,fuera_pico_10_12,1,1.8,32.650000000000006,17.0,117.0,43.715
2023-01-15,CENTRO,pico_7_9,1,1.74,30.8,4.0,76.0,36.61
2023-01-15,NORESTE3,fuera_pico_10_12,0,0.975,19.433333333333334,22.583333333333336,72.5,26.5
2023-01-15,NORESTE3,pico_7_9,0,0.8923333333333332,27.616666666666667,7.0,49.16666666666667,15.5
2023-01-15,NOROESTE3,fuera_pico_10_12,0,1.7516666666666665,26.85,16.5,98.0,27.2075
2023-01-15,NOROESTE3,pico_7_9,0,1.7933333333333334,25.833333333333332,7.25,62.333333333333336,24.740000000000002
2023-01-15,NORTE2,fuera_pico_10_12,1,1.29,35.349999999999994,17.75,74.7575,12.415
2023-01-15,NORTE2,pico_7_9,1,1.0775000000000001,30.3,6.0,50.2725,15.6175
2023-01-15,SUR,fuera_pico_10_12,0,1.56625,23.5125,21.125,84.125,27.44375
2023-01-15,SUR,pico_7_9,0,1.67625,39.0125,6.583333333333334,56.25,19.814999999999998
2023-01-15,SUROESTE2,fuera_pico_10_12,1,1.4025,28.3,21.0,117.5,34.75
2023-01-15,SUROESTE2,pico_7_9,1,1.38,28.0,8.75,76.0,26.5
2023-01-16,CENTRO,fuera_pico_10_12,1,1.52,27.150000000000002,17.5,133.5,17.415
2023-01-16,CENTRO,pico_7_9,1,1.615,34.75,6.0,167.5,31.134999999999998
2023-01-16,NORESTE3,fuera_pico_10_12,0,0.8508333333333333,16.133333333333333,24.98333333333333,143.66666666666669,28.0
2023-01-16,NORESTE3,pico_7_9,0,1.6391666666666669,37.44999999999999,6.183333333333334,131.0,49.25
2023-01-16,NOROESTE3,fuera_pico_10_12,0,1.3233333333333333,8.933333333333334,28.333333333333336,175.87166666666667,6.3675
2023-01-16,NOROESTE3,pico_7_9,0,1.505,18.9,15.0,89.72333333333333,9.98
2023-01-16,NORTE2,fuera_pico_10_12,1,0.9425,27.750000000000004,17.25,98.245,18.512500000000003
2023-01-16,NORTE2,pico_7_9,1,1.0775,35.45,7.0,97.9125,14.5775
2023-01-16,SUR,fuera_pico_10_12,0,1.7000000000000002,24.9125,19.875,139.875,26.521250000000002
2023-01-16,SUR,pico_7_9,0,2.245,37.8,4.75,107.75,27.744999999999997
2023-01-16,SUROESTE2,fuera_pico_10_12,1,1.1124999999999998,15.95,22.0,147.75,15.25
2023-01-16,SUROESTE2,pico_7_9,1,1.4675,26.7,12.0,132.5,17.25
2023-01-17,CENTRO,fuera_pico_10_12,1,1.8599999999999999,35.85,16.0,117.5,28.439999999999998
2023-01-17,CENTRO,pico_7_9,1,1.74,36.150000000000006,4.0,116.0,33.86
2023-01-17,NORESTE3,fuera_pico_10_12,0,0.9408333333333332,23.15,23.18333333333333,150.0,32.75
2023-01-17,NORESTE3,pico_7_9,0,1.8065,38.81666666666666,8.0,121.33333333333333,41.25
2023-01-17,NOROESTE3,fuera_pico_10_12,0,1.498333333333333,31.633333333333333,16.666666666666668,133.16666666666666,54.825
2023-01-17,NOROESTE3,pico_7_9,0,1.5916666666666668,33.31666666666666,3.0,121.50000000000001,24.4625
2023-01-17,NORTE2,fuera_pico_10_12,1,1.625,49.550000000000004,12.25,219.25,33.3675
2023-01-17,NORTE2,pico_7_9,1,1.6025,39.5,7.5,131.0,29.0
2023-01-17,SUR,fuera_pico_10_12,0,1.895,41.3625,14.25,132.75,33.40875
2023-01-17,SUR,pico_7_9,0,1.9725,46.125,4.5,106.625,34.5725
2023-01-17,SUROESTE2,fuera_pico_10_12,1,1.69,38.725,16.0,154.75,29.5
2023-01-17,SUROESTE2,pico_7_9,1,1.9625,30.825000000000003,11.0,87.25,25.5
2023-01-18,CENTRO,fuera_pico_10_12,1,2.1950000000000003,40.35,13.0,146.0,33.32
2023-01-18,CENTRO,pico_7_9,1,1.8399999999999999,36.0,4.5,223.5,42.435
2023-01-18,NORESTE3,fuera_pico_10_12,0,0.9476666666666667,17.93333333333333,22.85,193.5,31.0
2023-01-18,NORESTE3,pico_7_9,0,1.5648333333333335,31.33333333333333,8.0,135.16666666666669,39.5
2023-01-18,NOROESTE3,fuera_pico_10_12,0,1.1333333333333333,17.549999999999997,24.666666666666664,115.16666666666669,6.202500000000001
2023-01-18,NOROESTE3,pico_7_9,0,1.42,23.9,12.5,117.16666666666666,10.695
2023-01-18,NORTE2,fuera_pico_10_12,1,1.5075,36.05,16.25,198.0,38.5
2023-01-18,NORTE2,pico_7_9,1,2.0025,43.55,7.25,209.5,51.5
2023-01-18,SUR,fuera_pico_10_12,0,1.86375,28.35,16.125,171.5,43.755
2023-01-18,SUR,pico_7_9,0,2.51,44.175,4.625,140.375,45.20125
2023-01-18,SUROESTE2,fuera_pico_10_12,1,2.05,39.900000000000006,10.75,164.5,26.25
2023-01-18,SUROESTE2,pico_7_9,1,2.0075000000000003,35.45,6.5,174.5,44.5
2023-01-19,CENTRO,fuera_pico_10_12,1,1.375,15.35,27.5,71.0,8.935
2023-01-19,CENTRO,pico_7_9,1,1.395,20.4,21.0,38.0,6.51
2023-01-19,NORESTE3,fuera_pico_10_12,0,0.7656666666666665,12.783333333333331,27.133333333333336,56.5,7.0
2023-01-19,NORESTE3,pico_7_9,0,0.7275,13.55,24.266666666666666,46.5,4.5
2023-01-19,NOROESTE3,fuera_pico_10_12,0,0.9949999999999999,11.95,32.33333333333333,45.833333333333336,6.675
2023-01-19,NOROESTE3,pico_7_9,0,1.0516666666666667,21.983333333333334,21.33333333333333,48.5,8.27
2023-01-19,NORTE2,fuera_pico_10_12,1,0.825,22.35,24.25,34.25,7.333333333333333
2023-01-19,NORTE2,pico_7_9,1,0.6799999999999999,19.45,23.5,35.75,3.5
2023-01-19,SUR,fuera_pico_10_12,0,1.3987500000000002,23.262500000000003,20.5,65.25,7.055
2023-01-19,SUR,pico_7_9,0,1.3975,29.4875,17.0,47.0,6.945
2023-01-19,SUROESTE2,fuera_pico_10_12,1,1.2875,16.75,24.75,42.0,12.25
2023-01-19,SUROESTE2,pico_7_9,1,1.1400000000000001,14.149999999999999,24.75,33.25,4.25
2023-01-20,CENTRO,fuera_pico_10_12,1,2.095,38.15,9.0,117.0,29.275
2023-01-20,CENTRO,pico_7_9,1,1.53,31.549999999999997,6.5,68.5,22.91
2023-01-20,NORESTE3,fuera_pico_10_12,0,0.9091666666666667,25.816666666666663,16.450000000000003,104.33333333333334,21.0
2023-01-20,NORESTE3,pico_7_9,0,0.959,26.616666666666667,12.5,62.49999999999999,11.5
2023-01-20,NOROESTE3,fuera_pico_10_12,0,1.643333333333333,32.16666666666667,12.5,136.0,25.627499999999998
2023-01-20,NOROESTE3,pico_7_9,0,1.6183333333333334,35.3,3.0,74.83333333333333,22.2775
2023-01-20,NORTE2,fuera_pico_10_12,1,1.21,37.775,11.25,105.25,20.9925
2023-01-20,NORTE2,pico_7_9,1,1.075,38.925,6.25,82.75,17.675
2023-01-20,SUR,fuera_pico_10_12,0,1.61625,35.5625,14.75,105.75,20.896250000000002
2023-01-20,SUR,pico_7_9,0,1.6075,46.45,5.875,55.5,11.93375
2023-01-20,SUROESTE2,fuera_pico_10_12,1,1.665,35.175000000000004,11.75,130.5,25.5
2023-01-20,SUROESTE2,pico_7_9,1,1.765,29.725,8.0,65.0,22.5
2023-01-21,CENTRO,fuera_pico_10_12,1,1.84,30.65,15.5,112.5,44.435
2023-01-21,CENTRO,pico_7_9,1,1.645,25.55,6.0,76.5,30.75
2023-01-21,NORESTE3,fuera_pico_10_12,0,1.0665,23.0,19.733333333333334,91.0,36.5
2023-01-21,NORESTE3,pico_7_9,0,0.9383333333333332,23.85,6.0,57.83333333333333,18.5
2023-01-21,NOROESTE3,fuera_pico_10_12,0,1.3966666666666665,21.883333333333333,19.166666666666668,92.16666666666666,33.94
2023-01-21,NOROESTE3,pico_7_9,0,1.5150000000000001,26.6,2.833333333333333,88.66666666666666,35.980000000000004
2023-01-21,NORTE2,fuera_pico_10_12,1,1.3925,33.5,14.25,125.25,25.2675
2023-01-21,NORTE2,pico_7_9,1,1.23,27.275,6.25,76.75,13.8275
2023-01-21,SUR,fuera_pico_10_12,0,1.61875,25.55,17.5,77.625,26.66125
2023-01-21,SUR,pico_7_9,0,1.5925,37.1,6.875,38.75,10.771249999999998
2023-01-21,SUROESTE2,fuera_pico_10_12,1,1.5275,26.975,18.5,115.25,35.0
2023-01-21,SUROESTE2,pico_7_9,1,1.5474999999999999,23.9,7.5,74.5,30.75
2023-01-22,CENTRO,fuera_pico_10_12,1,1.35,22.5,23.5,56.0,11.27
2023-01-22,CENTRO,pico_7_9,1,1.58,13.3,26.5,48.0,12.925
